"Indikator","Ausprägung","Jahr","Räumliche Gliederung","Indikatorwert","Basiswert 1","Basiswert 2","Basiswert 3","Basiswert 4","Basiswert 5","Name Basiswert 1","Name Basiswert 2","Name Basiswert 3","Name Basiswert 4","Name Basiswert 5"
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","20 Hadern","15.7","546","3479","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","21 Pasing - Obermenzing","12.1","597","4921","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","22 Aubing - Lochhausen - Langwied","17.7","492","2779","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","23 Allach - Untermenzing","13.1","250","1913","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","24 Feldmoching - Hasenbergl","15.7","851","5415","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2012","25 Laim","10.4","581","5564","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2011","Stadt München","11.8","16441","138868","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2011","01 Altstadt - Lehel","5.5","143","2584","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2011","02 Ludwigsvorstadt - Isarvorstadt","6.8","453","6691","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2011","03 Maxvorstadt","6.1","359","5904","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2011","04 Schwabing - West","6.8","436","6426","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2011","05 Au - Haidhausen","7.8","477","6099","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2011","06 Sendling","10.3","457","4453","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
"Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","2011","07 Sendling - Westpark","12.8","707","5512","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","",""
